ID,Aspect,Category,Opinion,Gold_VA,Pred_VA,cTP_score,VA_distance
rest16_quad_train_462,food,food#quality,awsome,8.00#8.00,4.65#6.00,0.6551438252691422,0.34485617473085783
rest16_quad_train_1289,service,service#general,just ok,6.00#5.50,5.02#5.45,0.9132667523379875,0.08673324766201251
rest16_quad_train_1289,null,restaurant#prices,null,5.00#5.00,4.92#5.41,0.9630773612806451,0.03692263871935486
rest16_quad_test_514,restaurant,restaurant#prices,astonished,7.75#8.38,3.45#6.57,0.5876316497959622,0.41236835020403784
rest16_quad_test_167,food,food#quality,always freshly prepared,7.83#8.00,7.80#7.78,0.9803746019148656,0.019625398085134416
rest16_quad_train_885,food,food#quality,not fresh,3.50#5.50,3.58#6.13,0.9438681797017058,0.05613182029829422
rest16_quad_train_885,sauces,food#quality,bland,3.33#5.33,2.53#6.86,0.8473950156449666,0.15260498435503345
rest16_quad_test_83,ambiance,ambience#general,peaceful,7.83#7.50,7.52#7.71,0.9669044942628157,0.03309550573718434
rest16_quad_train_201,traditional french decour,ambience#general,pleasant,7.83#7.50,7.78#7.79,0.973989184941644,0.026010815058356007
rest16_quad_train_201,hall,ambience#general,rather noisy,2.67#6.83,3.87#6.21,0.8806135476697627,0.11938645233023726
rest16_quad_test_227,pizza,food#quality,love,7.00#7.12,7.70#7.69,0.9202102371854635,0.07978976281453654
rest16_quad_dev_96,pad thai,food#quality,best,7.75#8.00,7.89#7.87,0.9831134298923672,0.016886570107632837
rest16_quad_train_219,server,service#general,really cool,7.25#7.50,7.56#7.44,0.9720911080477924,0.027908891952207582
rest16_quad_train_1063,lobster,food#quality,good,6.25#6.50,6.47#6.62,0.9778499435666633,0.022150056433336673
rest16_quad_train_409,shabu - shabu restaurant,restaurant#general,best,7.80#8.00,7.90#7.87,0.985503233119071,0.014496766880929046
rest16_quad_train_526,parmesan bruschetta,food#quality,winner,8.25#8.12,7.63#7.69,0.9333092491420287,0.06669075085797127
rest16_quad_test_326,server,service#general,friendly,7.25#7.38,7.84#7.81,0.9354704525042985,0.0645295474957015
rest16_quad_test_326,server,service#general,very professional,7.75#7.88,7.84#7.81,0.9899221778146268,0.01007782218537323
rest16_quad_test_147,kafta plate,food#quality,enjoyed,7.25#7.38,7.81#7.80,0.9381281566461771,0.0618718433538229
rest16_quad_test_289,food,food#quality,good,6.50#6.25,6.72#6.78,0.9492786410868163,0.050721358913183745
rest16_quad_dev_104,big wong,restaurant#general,great,7.38#7.62,7.67#7.65,0.9742305898398896,0.025769410160110362
rest16_quad_train_601,food,food#quality,great,7.33#7.50,7.84#7.79,0.9481438287182712,0.05185617128172881
rest16_quad_train_601,service,service#general,great,7.17#7.33,7.85#7.80,0.9269364574496965,0.07306354255030345
rest16_quad_train_601,setting,ambience#general,unpretensious,7.50#7.67,7.91#7.88,0.9592837563127442,0.04071624368725579
rest16_quad_train_1090,service,service#general,pleasant,7.67#7.50,7.87#7.86,0.9635994505535974,0.036400549446402586
rest16_quad_train_1090,service,service#general,effective,7.50#7.50,7.81#7.80,0.961869877393326,0.03813012260667403
rest16_quad_train_1090,service,service#general,unassuming,7.33#7.33,7.69#7.71,0.9537331111916956,0.04626688880830443
rest16_quad_train_431,food,food#quality,delicious,7.25#7.25,7.87#7.82,0.9255593776893287,0.07444062231067128
rest16_quad_train_431,dishes,food#quality,never a disappointment,7.00#7.00,7.55#7.57,0.9299888401752978,0.07001115982470218
rest16_quad_train_742,food,food#quality,yummy,7.50#8.00,7.69#7.64,0.9640204050884393,0.035979594911560664
rest16_quad_test_30,service,service#general,good,7.00#7.00,6.88#6.81,0.9801371892724116,0.019862810727588442
rest16_quad_train_726,margheritta slice,food#quality,awsome,7.88#7.88,4.65#6.21,0.6786041187258307,0.3213958812741693
rest16_quad_train_1474,staff,service#general,horrified,1.00#9.00,2.39#7.27,0.8038455646690598,0.19615443533094024
rest16_quad_train_149,moules,food#quality,excellent,8.17#8.00,7.86#7.86,0.9699349663229858,0.030065033677014186
rest16_quad_train_149,lobster ravioli,food#quality,very salty,2.67#7.50,6.85#7.47,0.6305271914605894,0.36947280853941056
rest16_quad_train_386,service,service#general,slow,3.00#6.40,2.75#6.55,0.9742305898398896,0.025769410160110362
rest16_quad_train_1100,place,restaurant#general,bad,2.67#6.67,3.63#6.01,0.8970285233669051,0.10297147663309492
rest16_quad_train_610,null,service#general,null,4.75#5.50,4.95#5.40,0.9802357646239477,0.01976423537605232
rest16_quad_train_51,food,food#quality,well prepared,7.83#8.00,7.72#7.73,0.9742305898398896,0.025769410160110362
rest16_quad_train_51,service,service#general,impecable,8.00#8.17,7.70#7.72,0.9521966920600676,0.04780330793993237
rest16_quad_train_1485,meal,food#quality,best,8.00#7.62,7.92#7.91,0.9734099407672717,0.02659005923272828
rest16_quad_train_1405,food,food#quality,very good,7.25#7.38,6.74#6.73,0.9269738916551074,0.07302610834489265
rest16_quad_train_1294,null,restaurant#prices,costly,1.67#8.17,7.36#7.55,0.49409348072000503,0.505906519279995
rest16_quad_train_969,null,restaurant#general,null,4.33#5.17,4.99#5.42,0.9376188630273542,0.0623811369726458
rest16_quad_test_282,9 oz steak,food#quality,great,7.50#7.67,7.36#7.31,0.9658587492906309,0.03414125070936913
rest16_quad_train_1005,mussels,food#quality,fantastic,8.00#8.00,7.81#7.86,0.9791396009146517,0.020860399085348313
rest16_quad_dev_35,pizza,food#quality,excellent,8.17#8.17,7.80#7.78,0.9524835554781295,0.04751644452187054
rest16_quad_dev_35,wine,drinks#quality,excellent,8.17#8.17,7.78#7.77,0.9506210444622408,0.04937895553775917
rest16_quad_dev_35,service,service#general,excellent,8.17#8.17,7.80#7.78,0.9524835554781295,0.04751644452187054
rest16_quad_train_1307,chicken,food#quality,inedible,2.00#7.38,2.49#7.04,0.9472846677901011,0.05271533220989888
rest16_quad_train_376,staff,service#general,friendliest,7.38#7.25,7.66#7.74,0.9501173251519127,0.04988267484808728
rest16_quad_train_1468,food,food#quality,fabulous,7.88#7.88,7.83#7.82,0.993096649364258,0.006903350635741989
rest16_quad_train_1468,front of house staff,service#general,null,4.88#4.75,5.03#5.41,0.9401760394992107,0.05982396050078931
rest16_quad_test_19,italian food,food#quality,fabulous,8.17#8.50,7.94#7.90,0.9432040384358183,0.05679596156418165
rest16_quad_train_1429,server,service#general,enhanced,7.50#7.62,7.80#7.80,0.9690767078078676,0.030923292192132412
rest16_quad_train_1308,dinner,food#prices,null,4.83#5.33,4.95#5.40,0.9877206983097572,0.012279301690242828
rest16_quad_train_878,service,service#general,friendly,7.17#7.00,7.50#7.46,0.9499609527468797,0.05003904725312025
rest16_quad_train_31,food,food#quality,awesome,8.12#7.88,7.81#7.86,0.9725426467043891,0.027457353295610942
rest16_quad_test_322,restaurant,restaurant#general,delightful,7.83#8.00,7.93#7.90,0.9875,0.012499999999999956
rest16_quad_train_1166,bread,food#quality,horrible,1.67#8.67,2.39#7.23,0.857697505292423,0.14230249470757705
rest16_quad_train_514,restaurant,restaurant#general,highly recommend,7.62#7.62,7.90#7.88,0.9662268597847342,0.033773140215265784
rest16_quad_train_1296,wait,service#general,null,5.50#5.80,4.97#5.41,0.9418380493793408,0.05816195062065921
rest16_quad_train_207,decor,ambience#general,vibrant,7.67#7.67,7.89#7.93,0.9698960135530192,0.030103986446980757
rest16_quad_train_268,atmosphere,ambience#general,noisy,3.67#6.50,4.42#6.29,0.9311591509349282,0.06884084906507182
rest16_quad_test_82,pumpkin ravioli,food#quality,loved,7.25#7.12,7.67#7.66,0.9395330668877608,0.06046693311223916
rest16_quad_test_82,goat cheese gnocchi,food#quality,loved,7.25#7.12,7.69#7.69,0.9363542519094952,0.06364574809050483
rest16_quad_train_263,yellowtail,food#quality,particularly good,7.12#7.00,6.87#6.85,0.9742305898398896,0.025769410160110362
rest16_quad_test_515,null,service#general,null,4.88#4.88,4.95#5.40,0.9536234838522771,0.04637651614772287
rest16_quad_test_222,crab cakes,food#quality,best,6.88#6.50,7.90#7.89,0.8476101832470424,0.1523898167529576
rest16_quad_train_10,wine list,drinks#style_options,interesting,7.00#7.00,7.86#7.80,0.8961822510357694,0.10381774896423057
rest16_quad_train_1228,chilli chicken,food#quality,very spicy,4.17#6.17,7.56#7.55,0.6764877803698909,0.3235122196301091
rest16_quad_train_267,service,service#general,great,7.00#7.00,7.59#7.57,0.9274892249386342,0.07251077506136583
rest16_quad_test_248,food,food#quality,ok,6.00#5.75,5.44#5.45,0.9438473063869596,0.05615269361304043
rest16_quad_train_22,service,service#general,excellent,8.00#8.25,7.84#7.82,0.9594471795062292,0.04055282049377085
rest16_quad_train_22,decor,ambience#general,cool,7.75#8.00,7.73#7.68,0.9716605398781134,0.028339460121886595
rest16_quad_train_1333,service,service#general,not the friendliest,2.90#5.75,4.76#6.34,0.8275249112190401,0.17247508878095985
rest16_quad_dev_18,jekyll and hyde,restaurant#general,great,7.75#7.88,7.88#7.87,0.9884755694283839,0.011524430571616118
rest16_quad_train_1461,null,restaurant#general,null,3.83#4.50,4.96#5.41,0.87176072169573,0.12823927830426995
rest16_quad_dev_27,restaurant,restaurant#general,fresh,7.38#7.00,7.90#7.86,0.9111708099778006,0.08882919002219936
rest16_quad_dev_27,restaurant,restaurant#general,amazing,7.75#7.50,7.95#7.93,0.9580830434072319,0.04191695659276806
rest16_quad_dev_27,food,food#quality,delicious,7.38#7.12,7.96#7.90,0.914085798612802,0.08591420138719796
rest16_quad_train_1470,waiters,service#general,fantastic,8.17#8.33,7.76#7.82,0.9421613234937036,0.05783867650629637
rest16_quad_train_1470,fish dishes,food#quality,exceptional,8.17#8.67,7.68#7.66,0.9007764518876693,0.0992235481123307
rest16_quad_train_774,interior decor,ambience#general,cute,7.17#7.50,7.12#7.12,0.9661229244178309,0.033877075582169125
rest16_quad_train_762,food,food#quality,excellent,8.25#8.38,7.85#7.85,0.9413098709321575,0.058690129067842545
rest16_quad_train_593,lobster sandwich,food#quality,fantastic,8.25#8.50,7.88#7.94,0.9406743626245786,0.0593256373754214
rest16_quad_train_1049,null,restaurant#general,null,5.50#5.50,4.98#5.40,0.9531958869328774,0.04680411306712262
rest16_quad_train_1081,food,food#quality,luke warm,5.40#5.90,6.23#6.89,0.8858112855839072,0.1141887144160928
rest16_quad_train_980,areo,restaurant#general,enjoyable,7.62#7.75,7.82#7.78,0.9821245629424061,0.017875437057593868
rest16_quad_test_476,null,food#quality,delicious,8.00#8.00,7.93#7.89,0.9884755694283839,0.011524430571616118
rest16_quad_test_476,null,ambience#general,welcoming,8.00#8.00,7.92#7.93,0.9906041897635169,0.00939581023648306
rest16_quad_test_476,null,ambience#general,relaxing,8.00#8.00,7.94#7.91,0.9904393384120136,0.009560661587986408
rest16_quad_train_731,food,food#quality,reliable,6.88#6.88,7.44#7.36,0.9348079759479735,0.06519202405202651
rest16_quad_train_1288,service,service#general,sadly,3.00#6.00,3.71#6.06,0.9370205886816969,0.06297941131830309
rest16_quad_train_323,tables,ambience#general,crammed,3.00#5.50,3.58#6.11,0.9256013693002351,0.07439863069976493
rest16_quad_test_393,meal,food#quality,null,6.40#6.40,5.12#5.43,0.8580465525251324,0.1419534474748676
rest16_quad_train_647,mizu,restaurant#general,null,5.00#5.00,5.07#5.43,0.9614926954981267,0.03850730450187334
rest16_quad_dev_99,food,food#quality,good,6.83#6.83,6.56#6.64,0.970818456175178,0.029181543824821965
rest16_quad_dev_128,quesadilla,food#quality,null,4.67#4.67,5.01#5.40,0.9288213076124603,0.07117869238753971
rest16_quad_train_1440,salmon,food#quality,fishy,1.50#8.67,3.28#6.11,0.7244040548193789,0.27559594518062114
rest16_quad_train_1440,salmon,food#quality,dry,1.50#8.67,3.13#6.16,0.7354691653133798,0.2645308346866202
rest16_quad_train_1440,salmon,food#quality,bland,1.50#8.67,2.77#6.62,0.7868502580344043,0.21314974196559566
rest16_quad_train_1206,food,food#quality,flavorful,7.50#8.00,7.85#7.88,0.9672963113701222,0.032703688629877825
rest16_quad_train_952,music,ambience#general,good,7.33#7.33,6.94#6.92,0.9499843774406436,0.05001562255935643
rest16_quad_train_952,food,food#quality,great,7.67#7.67,7.65#7.62,0.9952401418088351,0.004759858191164867
rest16_quad_train_952,service,service#general,speedy,7.67#7.50,7.42#7.40,0.9762007090441753,0.02379929095582467
rest16_quad_test_299,pizza,food#quality,delicious,7.75#7.38,7.95#7.92,0.9491018173212442,0.05089818267875579
rest16_quad_test_299,salads,food#quality,fantastic,7.88#7.75,7.92#7.94,0.9828380872278175,0.017161912772182486
rest16_quad_test_36,fish,food#quality,excellent,8.38#8.38,7.87#7.85,0.9349879818802707,0.06501201811972934
rest16_quad_train_732,null,restaurant#general,null,5.00#5.00,5.03#5.42,0.9627823126726015,0.037217687327398496
rest16_quad_train_725,null,restaurant#general,null,4.00#5.00,5.00#5.43,0.9037865329072899,0.09621346709271006
rest16_quad_test_392,null,restaurant#general,null,5.90#5.80,4.99#5.39,0.9117797500570306,0.0882202499429694
rest16_quad_test_529,null,service#general,null,5.00#5.00,4.92#5.40,0.9639444872453601,0.03605551275463992
rest16_quad_train_981,servers,service#general,very attentive,8.00#8.00,7.88#7.90,0.9861932987285159,0.01380670127148409
rest16_quad_train_981,servers,service#general,quite attractive,8.00#8.00,7.76#7.76,0.97,0.030000000000000027
rest16_quad_train_981,servers,service#general,friendly,8.00#8.00,7.84#7.82,0.978713267042592,0.021286732957408017
rest16_quad_test_75,food,food#quality,mediocre,5.38#5.25,4.43#5.78,0.903847451931839,0.09615254806816098
rest16_quad_train_400,lox,food#quality,always fresh,7.12#6.00,7.75#7.76,0.8347705194282813,0.1652294805717187
rest16_quad_dev_131,food,food#quality,amazing,8.00#8.17,7.90#7.91,0.9753778554955098,0.024622144504490184
rest16_quad_train_298,food,food#quality,delicious,7.83#7.83,7.93#7.91,0.9886807685773282,0.011319231422671772
rest16_quad_train_107,null,food#prices,null,5.00#5.00,4.98#5.40,0.9646004943537342,0.035399505646265816
rest16_quad_train_107,toppings,food#prices,null,5.25#5.38,5.04#5.38,0.9814384469938531,0.018561553006146925
rest16_quad_test_27,food,food#quality,great,7.33#7.67,7.71#7.69,0.9663659398823158,0.03363406011768422
rest16_quad_test_221,service,service#general,null,4.62#5.12,5.01#5.41,0.9570428993064011,0.042957100693598926
rest16_quad_train_1494,hot dog,food#quality,elevated,7.83#7.67,7.70#7.64,0.9882075235849292,0.011792476415070752
rest16_quad_train_1066,null,restaurant#general,null,4.83#5.00,4.96#5.44,0.9594471795062292,0.04055282049377085
rest16_quad_train_405,place,restaurant#general,totally overrated,3.83#5.17,2.69#6.74,0.8285061043360434,0.17149389566395656
rest16_quad_train_394,fish,food#quality,quality,7.75#7.88,7.78#7.75,0.9882075235849292,0.011792476415070752
rest16_quad_train_394,service,service#general,great,7.50#7.62,7.62#7.61,0.989356633521296,0.010643366478704008
rest16_quad_train_1088,seafood dynamite,food#quality,otherworldly,8.12#8.38,7.69#7.78,0.934754071008223,0.06524592899177695
rest16_quad_test_10,meal,food#quality,delicious,7.83#7.83,7.92#7.87,0.99129475732676,0.008705242673240021
rest16_quad_test_131,place,restaurant#general,null,4.50#5.00,4.96#5.41,0.9455352751774141,0.05446472482258591
rest16_quad_train_836,food,food#quality,exceptional,7.83#8.00,7.87#7.89,0.9896544091517206,0.010345590848279351
rest16_quad_train_776,ginger house,restaurant#general,always good,7.50#7.62,6.86#6.87,0.9128533922060073,0.08714660779399275
rest16_quad_train_1162,mens bathroom,ambience#general,disgusting,1.17#8.83,2.39#7.24,0.8228590779915607,0.17714092200843934
rest16_quad_train_374,food,food#quality,great,7.00#7.17,7.69#7.70,0.9230970579236398,0.07690294207636017
rest16_quad_train_662,wait staff,service#general,kind,7.25#7.25,5.89#6.49,0.8622956064607958,0.13770439353920416
rest16_quad_train_242,tuna,food#quality,soggy,3.67#5.17,3.81#5.75,0.9472624422256776,0.05273755777432243
rest16_quad_train_635,mare,restaurant#general,best,7.90#7.50,7.84#7.81,0.9720911080477924,0.027908891952207582
rest16_quad_dev_155,family seafood entree,food#quality,very good,7.67#7.33,7.01#7.02,0.9355491951175161,0.06445080488248389
rest16_quad_dev_65,food,food#quality,wonderful,7.75#7.75,7.91#7.94,0.9780447899121871,0.02195521008781287
rest16_quad_dev_65,staff,service#general,wonderful,7.75#7.75,7.90#7.94,0.9786034465392204,0.02139655346077962
rest16_quad_dev_65,mileau,ambience#general,wonderful,7.75#7.75,7.92#7.95,0.9767991110084118,0.02320088899158823
rest16_quad_test_370,scallops,food#quality,tasty,7.25#7.38,7.43#7.45,0.9829293746453154,0.01707062535468462
rest16_quad_train_44,null,restaurant#general,null,5.80#5.70,4.97#5.42,0.9225756417527404,0.07742435824725957
rest16_quad_train_1418,atmosphere,ambience#general,great,8.00#8.00,7.67#7.63,0.9561786296426047,0.043821370357395306
rest16_quad_train_110,null,restaurant#general,null,2.80#6.80,4.98#5.43,0.7724227466331488,0.2275772533668512
rest16_quad_train_275,null,restaurant#general,null,5.62#5.38,4.95#5.42,0.9406743626245786,0.0593256373754214
rest16_quad_train_637,pizzas,food#quality,terrific,7.50#7.50,7.76#7.75,0.9681188731378579,0.03188112686214206
rest16_quad_train_1137,veal,food#quality,incredible,8.00#7.83,7.89#7.95,0.9856114194584733,0.014388580541526697
rest16_quad_train_485,svc,service#general,a bit rude,2.33#7.83,2.56#6.91,0.9161800665115988,0.08381993348840122
rest16_quad_train_485,restaurant,restaurant#general,must,7.50#7.67,4.89#6.42,0.7442138344241425,0.25578616557585754
rest16_quad_train_929,sushi,food#quality,good,7.50#7.50,6.81#6.82,0.9143727190084843,0.08562728099151573
